timeStampNs,gameTime,posX,posY,posZ,rotX,rotY,rotZ,
32515400,0.0000,-2.4270,0.0000,-0.4420,0.0000,0.0000,0.0000,
960130400,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
994153400,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1033363700,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1043934700,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1057453000,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1071200400,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1085375500,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1099737600,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1112626100,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1126698500,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1141465300,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1155218300,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1167937400,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1182700100,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1196575800,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1210797900,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1224387900,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1237893900,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1252107500,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1266274100,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1279490900,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1293936600,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1308172600,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1321509300,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1335003200,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1350400000,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1363722300,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1377105600,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1390523000,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1404770400,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1419638800,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1433136300,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1446171100,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1460521400,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1474933100,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1489014700,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1501964900,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1516401400,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1530767800,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1544664600,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1559026500,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1571991700,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1585876200,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1600358000,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1614136700,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1627320400,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1642031300,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1655960300,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1669113600,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1683282400,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1697854600,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1711599600,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1725639000,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1746064300,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1775571200,0.0000,-2.6864,1.4862,-0.7366,0.4635,231.8547,355.8835,
1805984000,0.0000,-2.6859,1.4871,-0.7394,0.3318,231.2756,355.8385,
1815047700,0.0000,-2.6849,1.4890,-0.7448,0.0797,230.2980,355.7102,
1940277100,0.0000,-2.6824,1.4926,-0.7611,359.5762,227.2344,355.8105,
1984249200,0.0000,-2.6788,1.4948,-0.7916,359.1820,220.8339,355.9603,
2027702400,0.0000,-2.6791,1.4957,-0.7990,359.5623,218.7885,355.5074,
2058019500,0.0000,-2.6797,1.4963,-0.8037,359.7943,217.4372,355.2432,
