timeStampNs,gameTime,posX,posY,posZ,rotX,rotY,rotZ,
32387900,0.0000,-2.4270,0.0000,-0.4420,0.0000,0.0000,0.0000,
980121100,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1005649600,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1057251500,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1067737500,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1081840000,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1095024600,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1108989000,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1123888500,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1137478100,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1150235900,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1164638300,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1179310600,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1193103500,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1205613800,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1220040500,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1234889300,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1248383300,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1261770400,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1275890700,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1290349000,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1304293900,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1317260100,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1332212300,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1345866600,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1359976800,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1373781400,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1386721300,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1400882700,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1416013400,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1429603800,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1442734400,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1456878600,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1471548000,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1485098800,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1498252500,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1513016800,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1526890700,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1540214700,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1554300700,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1568813900,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
1582243000,0.0000,-2.4270,0.0574,-0.4420,0.0000,90.0000,0.0000,
